Ticker,Name,SPY,QQQ,XLK,XLF,XLC,XLY,XLP,XLE,XLV,XLI,XLB,XLRE,XLU,IGV,ITA,SOXX,SMH,ARKK
MCD,MCDONALD S CORP,0.3752,-,-,-,-,4.4365,-,-,-,-,-,-,-,-,-,-,-,-
WBD,WARNER BROS DISCOVERY INC,0.1166,0.36,-,-,4.2695,-,-,-,-,-,-,-,-,-,-,-,-,-
SPG,SIMON PROPERTY GROUP INC,0.1011,-,-,-,-,-,-,-,-,-,-,4.6402,-,-,-,-,-,-
MO,ALTRIA GROUP INC,0.1794,-,-,-,-,-,4.5598,-,-,-,-,-,-,-,-,-,-,-
CSCO,CISCO SYSTEMS INC,0.5201,1.62,2.593,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
VZ,VERIZON COMMUNICATIONS INC,0.2783,-,-,-,4.4241,-,-,-,-,-,-,-,-,-,-,-,-,-
ECL,ECOLAB INC,0.1217,-,-,-,-,-,-,-,-,-,4.5596,-,-,-,-,-,-,-
AMGN,AMGEN INC,0.3175,0.99,-,-,-,-,-,-,3.3584,-,-,-,-,-,-,-,-,-
PSA,PUBLIC STORAGE,0.0735,-,-,-,-,-,-,-,-,-,-,4.5636,-,-,-,-,-,-
WMB,WILLIAMS COS INC,0.1342,-,-,-,-,-,-,4.4904,-,-,-,-,-,-,-,-,-,-
DLR,DIGITAL REALTY TRUST INC,0.0884,-,-,-,-,-,-,-,-,-,-,4.4985,-,-,-,-,-,-
ISRG,INTUITIVE SURGICAL INC,0.3122,0.97,-,-,-,-,-,-,3.3041,-,-,-,-,-,-,-,-,-
CL,COLGATE PALMOLIVE CO,0.116,-,-,-,-,-,4.4547,-,-,-,-,-,-,-,-,-,-,-
TMO,THERMO FISHER SCIENTIFIC INC,0.3932,-,-,-,-,-,-,-,4.1613,-,-,-,-,-,-,-,-,-
CTVA,CORTEVA INC,0.0827,-,-,-,-,-,-,-,-,-,4.4512,-,-,-,-,-,-,-
T,AT+T INC,0.2735,-,-,-,4.2356,-,-,-,-,-,-,-,-,-,-,-,-,-
APD,AIR PRODUCTS + CHEMICALS INC,0.0968,-,-,-,-,-,-,-,-,-,4.3454,-,-,-,-,-,-,-
SRE,SEMPRA,0.0952,-,-,-,-,-,-,-,-,-,-,-,4.2422,-,-,-,-,-
GILD,GILEAD SCIENCES INC,0.2936,0.91,-,-,-,-,-,-,3.1048,-,-,-,-,-,-,-,-,-
