1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Ticker,EPS LTM,EPS - most recent FY,EPS Est current FY,EPS Est FY+1,EPS Est FY+2,EPS EST NTM,EPS EST NTM+1,EPS EST NTM - 30 days ago,EPS EST NTM - 90 days ago,EPS EST Current Qtr,EPS Est Next Qtr,EPS surprise last qtr,Sales LTM,Sales - most recent FY,Sales Est current FY,Sales Est FY+1,Sales Est FY+2,Sales EST NTM,Sales EST NTM+1,SALES EST NTM - 30 days ago,SALES EST NTM - 90 days ago,SALES EST Current Qtr,SALES EST Next Qtr,SALES surprise last qtr,EBITDA LTM,EBITDA - most recent FY,EBITDA Est current FY,EBITDA Est FY+1,EBITDA Est FY+2,EBITDA EST NTM,EBITDA EST NTM+1,EBITDA EST NTM - 30 days ago,EBITDA EST NTM - 90 days ago,EBITDA EST Current Qtr,EBITDA EST Next Qtr,PRICE,SO,MKT CAP,EV,ND,Gross Profit LTM,EBIT LTM,Stock Option Expense - LTM,Stock price - LTM High,Stock price - LTM LOW,ROIC 1 YR,ROIC  3YR,14 day RSI,SI % of float,SI Days to Cover,Insider % ownership,Insider Purchases,Insider Sales,,,,Accruals abs,acrcrurals %,FCF,Consensus Price Target,Next Earnings Date,Next Earnings Date Time of day,LAST Reported FYE,FYE,LAST Reported FQ,Total assets,1 month volatility,2 month vol,3 month vol,1 yr Beta,3 yr beta,5 yr beta - monthly,5 yr beta - weekly,EV/EBITDA - NTM,EV/Sales - NTM,P/E NTM,3-YR AVG NTM EV/EBITDA,3-YR AVG NTM EV/SALES,3-YR AVG NTM P/E,3-YR MEDIAN NTM EV/EBITDA,3-YR MEDIAN NTM EV/SALES,3-YR MEDIAN NTM P/E,3-YR MIN NTM EV/EBITDA,3-YR MIN NTM EV/SALES,3-YR MIN NTM P/E,3-YR MAX NTM EV/EBITDA,3-YR MAX NTM EV/SALES,3-YR MAX NTM P/E,52 week high,26-YR AVG NTM EV/EBITDA,26-YR AVG NTM EV/SALES,26-YR AVG NTM P/E,26-YR MEDIAN NTM EV/EBITDA,26-YR MEDIAN NTM EV/SALES,26-YR MEDIAN NTM P/E,26-YR MIN NTM EV/EBITDA,26-YR MIN NTM EV/SALES,26-YR MIN NTM P/E,26-YR MAX NTM EV/EBITDA,26-YR MAX NTM EV/SALES,26-YR MAX NTM P/E
SQQQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.538,0.588,0.500,-3.686,-3.710,-3.404,-3.631,,,,,,,,,,,,,,,,289,,,,,,,,,,,,
QID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359,0.392,0.334,-2.439,-2.475,-2.299,-2.438,,,,,,,,,,,,,,,,50.45,,,,,,,,,,,,
PSQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179,0.197,0.168,-1.221,-1.236,-1.157,-1.219,,,,,,,,,,,,,,,,46.98,,,,,,,,,,,,
SPXU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.388,0.415,0.353,-3.065,-3.000,-2.909,-2.967,,,,,,,,,,,,,,,,153,,,,,,,,,,,,
SDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258,0.279,0.238,-2.035,-1.998,-1.954,-1.984,,,,,,,,,,,,,,,,141.55,,,,,,,,,,,,
SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.130,0.139,0.119,-1.016,-0.997,-0.987,-0.994,,,,,,,,,,,,,,,,51.3706,,,,,,,,,,,,
SDOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403,0.378,0.329,-2.703,-2.487,-2.542,-2.476,,,,,,,,,,,,,,,,75.95,,,,,,,,,,,,
DXD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.273,0.256,0.222,-1.792,-1.649,-1.717,-1.649,,,,,,,,,,,,,,,,35.79,,,,,,,,,,,,
DOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.125,0.110,-0.894,-0.821,-0.865,-0.825,,,,,,,,,,,,,,,,30.805,,,,,,,,,,,,
SOXS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053,1.145,1.014,-5.618,-5.496,-4.401,-4.856,,,,,,,,,,,,,,,,53.43,,,,,,,,,,,,
SARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.362,0.411,0.384,-2.882,-2.912,-2.071,-2.454,,,,,,,,,,,,,,,,74.56,,,,,,,,,,,,
SBIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.004,0.956,0.886,-1.361,-1.447,-2.852,-1.447,,,,,,,,,,,,,,,,76.55,,,,,,,,,,,,
A,4.571,4.570,5.933,6.537,7.273,6.001,6.619,6.033,5.961,1.372,1.391,0.359,6948.000,6948.000,7356.843,7816.510,8321.735,7408.477,7873.262,7302.969,7247.941,1808.906,1763.086,0.365,1835.000,1835.000,2157.202,2359.928,2547.893,2179.974,2381.042,2158.918,2155.911,503.697,511.023,143.470,285.000,40609.754,42453.950,1565.000,3901.000,1547.000,#N/A,160.270,96.430,13.590,14.470,48.595,1.159,1.335,0.005,9.000,1.000,85832.000,-2577.000,83255.000,-256,-0.196469685,1152.000,169.1875,3/2026,Unspecified,10/31/2025,10/2025,10/31/2025,12727.000,0.279,0.236,0.286,1.004,1.024,1.273,1.058,19.773031,5.8163238,24.298841,18.98233017,5.70232366,22.78424222,19.4033985,5.823987,23.337101,14.5796995,4.399965,17.1393,22.814898,6.980507,27.467764,160.27,15.47208199,3.248159373,36.28239227,14.24,2.617501,21.460285,1.1977658,0.64,8.72,70.02677,8.452854,7124.673
AAPL,7.459,7.465,8.242,9.112,10.027,8.414,9.292,8.324,7.942,2.670,1.847,4.099,416161.000,416161.000,450762.780,481888.600,509172.300,456902.660,487270.600,452828.560,436544.600,137231.830,104470.620,0.234,144427.000,144427.000,155791.340,169972.880,181297.530,158588.800,172206.780,156811.310,151359.550,50035.867,35530.060,278.780,15004.697,4119365.000,4240689.430,57680.000,195201.000,132729.000,9261.000,288.620,169.210,70.633,61.497,65.551,0.877,2.940,0.001,0.000,5.000,,,,528,0.004713865,98767.000,290.3831787,01/2026,Unspecified,09/27/2025,09/2025,09/27/2025,359241.000,0.167,0.198,0.215,1.211,1.139,1.107,1.189,26.786173,9.292883,33.196743,22.47212994,7.577090366,28.1380576,22.4070675,7.5246885,27.967567,15.745147,5.0027885,19.722902,27.606577,9.595076,34.15051,288.62,14.74122689,2.998857257,29.32012431,13.148533,2.67428025,23.797009,0.5149296,0.08640268,8.483157,72.94294,9.441825,3981.7932
ABBV,1.325,2.390,10.637,14.294,15.862,14.093,15.776,13.783,13.565,3.352,3.049,5.339,59644.000,56334.000,60938.130,66650.590,71699.880,66337.586,71423.210,65833.586,64322.940,16383.209,14691.376,1.220,13014.000,15056.000,25722.880,32548.950,35509.434,32174.918,35347.215,31589.229,30984.270,7555.307,6159.000,225.180,1773.000,397978.630,462133.960,62286.000,41557.000,4702.000,791.000,244.810,164.390,6.640,10.456,40.835,1.031,2.869,0.001,0.000,0.000,,,,-14568,-3.437470505,19684.000,250.5925903,2/2026,Unspecified,12/31/2024,12/2024,09/30/2025,135161.000,0.258,0.241,0.268,0.248,0.245,0.349,0.393,14.486707,7.0029964,16.119797,13.20091424,6.387838987,14.58725262,13.109011,6.3540391,14.445141,11.264199,5.450302,11.975933,15.865324,7.6610527,17.791937,244.81,10.84002781,5.133869846,12.26398549,10.7117485,4.8457607,12.2291285,6.700205,2.644543,6.9693418,15.260728,7.3711786,17.076092
ABNB,4.227,4.105,4.125,5.197,6.349,5.139,6.286,5.026,4.618,0.661,0.329,-4.275,11985.000,11102.000,12169.885,13365.913,14692.591,13300.377,14619.896,13169.871,12905.470,2710.185,2531.800,0.364,3456.000,3396.000,4273.633,4727.516,5338.989,4702.646,5305.483,4651.889,4549.183,760.903,469.483,127.570,645.000,77352.016,69779.970,-8342.000,8669.000,3366.000,1223.710,163.930,99.880,25.158,24.306,73.624,4.127,3.056,0.025,0.000,9.000,,,,-1870,-0.706193353,4538.000,138.7352905,2/2026,Unspecified,12/31/2024,12/2024,09/30/2025,20959.000,0.295,0.265,0.236,1.514,1.498,1.118,1.492,14.432174,5.1022635,24.276102,18.94551739,6.732592566,30.63697506,18.736328,6.58285095,30.5321185,12.822439,4.5271792,22.073618,26.29063,9.129186,41.014244,163.93,287.0731264,9.35403592,154.7566398,21.086276,7.470913,31.7501345,13.181042,4.64,22.60,47525.9,26.371923,12572.159
ABT,7.973,7.638,5.152,5.667,6.267,5.638,6.234,5.601,5.511,1.497,1.202,-0.211,43843.000,41950.000,44668.324,48157.540,51804.260,47966.348,51604.440,47628.370,47124.360,11798.329,11210.883,-0.182,11811.000,10834.000,11918.402,13118.689,14574.026,13052.920,14494.282,12937.467,12736.830,3424.079,2829.372,122.550,1748.000,213098.520,219902.191,7308.000,22836.000,8680.000,585.820,141.230,110.860,23.354,15.110,40.066,1.070,2.246,0.007,0.000,1.000,,,,4793,0.358999326,6917.000,145.375,1/2026,Unspecified,12/31/2024,12/2024,09/30/2025,81414.000,0.213,0.197,0.188,0.360,0.422,0.714,0.539,17.212063,4.6823792,22.21672,18.34799995,4.808063132,23.30746432,18.3812685,4.8003855,23.288389,15.613543,4.0153823,19.741377,21.061932,5.6273565,26.722378,141.23,13.66964992,3.856631001,19.46049043,12.745931,3.6677985,18.965224,7.150918,1.813436,9.821383,23.730171,6.5238776,30.729357
